order_id,customer_id,sales,profit,category
1001,12,399,2,Home
1002,17,480,121,Electronics
1003,10,198,167,Electronics
1004,16,82,109,Clothing
1005,15,371,147,Sports
1006,15,250,109,Clothing
1007,19,260,196,Clothing
1008,12,71,17,Clothing
1009,20,115,132,Clothing
1010,3,407,152,Home
1011,5,241,133,Sports
1012,19,426,72,Electronics
1013,7,250,94,Electronics
1014,9,256,-13,Sports
1015,7,162,-27,Electronics
1016,18,190,18,Sports
1017,4,48,65,Electronics
1018,14,55,47,Clothing
1019,18,32,147,Electronics
1020,9,179,163,Sports
1021,2,346,88,Sports
1022,20,206,189,Sports
1023,15,262,93,Sports
1024,7,105,46,Sports
1025,12,303,150,Home
1026,8,85,73,Home
1027,15,189,136,Electronics
1028,3,64,19,Sports
1029,14,81,157,Electronics
1030,17,460,42,Sports
1031,4,153,-48,Sports
1032,18,303,97,Home
1033,8,47,136,Home
1034,4,127,113,Clothing
1035,2,63,96,Home
1036,6,359,39,Clothing
1037,10,305,144,Clothing
1038,4,465,96,Clothing
1039,18,350,97,Clothing
1040,12,147,45,Clothing
1041,2,367,148,Electronics
1042,10,492,1,Home
1043,4,250,182,Clothing
1044,14,209,110,Sports
1045,16,244,117,Home
1046,15,404,77,Home
1047,8,396,-12,Clothing
1048,14,302,31,Electronics
1049,8,465,53,Clothing
1050,16,140,78,Electronics
1051,13,135,-40,Sports
1052,18,480,169,Home
1053,15,252,134,Sports
1054,13,278,166,Electronics
1055,9,378,127,Electronics
1056,15,217,100,Sports
1057,13,475,108,Electronics
1058,1,430,171,Sports
1059,7,156,-9,Home
1060,9,337,48,Sports
1061,1,184,-44,Home
1062,12,244,93,Sports
1063,8,326,39,Electronics
1064,11,253,61,Sports
1065,19,191,198,Electronics
1066,17,171,193,Sports
1067,8,482,9,Sports
1068,3,334,62,Clothing
1069,3,393,-49,Electronics
1070,1,179,78,Clothing
1071,5,115,-3,Electronics
1072,10,491,89,Clothing
1073,7,252,146,Home
1074,9,199,-14,Sports
1075,7,132,109,Electronics
1076,9,337,196,Electronics
1077,8,461,-42,Sports
1078,12,71,182,Electronics
1079,2,287,48,Electronics
1080,1,314,96,Clothing
1081,16,405,-3,Electronics
1082,5,406,157,Home
1083,3,132,80,Home
1084,12,120,97,Sports
1085,8,132,101,Electronics
1086,3,459,3,Sports
1087,1,100,69,Home
1088,3,206,110,Electronics
1089,5,132,101,Electronics
1090,15,21,65,Sports
1091,14,149,24,Home
1092,3,239,62,Electronics
1093,1,73,149,Sports
1094,5,362,113,Home
1095,14,243,115,Sports
1096,7,244,53,Clothing
1097,9,404,33,Electronics
1098,15,422,176,Clothing
1099,15,145,61,Home
1100,10,149,166,Clothing
